id,routing_line_id/id,account_analytic_id/id,account_id/id
houdini2_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.houdini2,imsar_accounting.411010
hawkeye2_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.hawkeye2,imsar_accounting.411010
future_dod_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.future_dod,imsar_accounting.411010
future_depl_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.future_deployment,imsar_accounting.412210
darpa_hotspot_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.darpa_hotspot,imsar_accounting.412010
fair_weather_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.fair_weather,imsar_accounting.412010
future_non_dod_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.future_non_dod,imsar_accounting.412010
imsar_aviation_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.imsar_aviation,imsar_accounting.412120
aviant_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.aviant,imsar_accounting.412120
tagsmyth_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.tagsmyth,imsar_accounting.412120
japan1_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.japan1,imsar_accounting.412020
future_comm_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.future_commercial,imsar_accounting.412110
future_retail_eng_revenue_subrouting_line,eng_revenue_routing_line,imsar_accounting.future_retail,imsar_accounting.412110
,,,
houdini2_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.houdini2,imsar_accounting.413010
hawkeye2_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.hawkeye2,imsar_accounting.413010
future_dod_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.future_dod,imsar_accounting.413010
future_depl_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.future_deployment,imsar_accounting.413060
darpa_hotspot_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.darpa_hotspot,imsar_accounting.413020
fair_weather_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.fair_weather,imsar_accounting.413020
future_non_dod_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.future_non_dod,imsar_accounting.413020
imsar_aviation_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.imsar_aviation,imsar_accounting.413050
aviant_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.aviant,imsar_accounting.413050
tagsmyth_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.tagsmyth,imsar_accounting.413050
japan1_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.japan1,imsar_accounting.413030
future_comm_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.future_commercial,imsar_accounting.413040
future_retail_product_revenue_subrouting_line,prod_revenue_routing_line,imsar_accounting.future_retail,imsar_accounting.413040
,,,
darpa_hotspot_lease_revenue_subrouting_line,prod_lease_revenue_routing_line,imsar_accounting.darpa_hotspot,imsar_accounting.416010
fair_weather_lease_revenue_subrouting_line,prod_lease_revenue_routing_line,imsar_accounting.fair_weather,imsar_accounting.416010
future_non_dod_lease_revenue_subrouting_line,prod_lease_revenue_routing_line,imsar_accounting.future_non_dod,imsar_accounting.416010
japan1_product_lease_subrouting_line,prod_lease_revenue_routing_line,imsar_accounting.japan1,imsar_accounting.416010
future_comm_lease_revenue_subrouting_line,prod_lease_revenue_routing_line,imsar_accounting.future_commercial,imsar_accounting.416010
future_retail_lease_revenue_subrouting_line,prod_lease_revenue_routing_line,imsar_accounting.future_retail,imsar_accounting.416010
,,,
houdini2_labor_subrouting_line,contract_labor_routing_line,imsar_accounting.houdini2,imsar_accounting.511010
houdini2_materials_subrouting_line,contract_material_routing_line,imsar_accounting.houdini2,imsar_accounting.511020
houdini2_travel_subrouting_line,contract_travel_routing_line,imsar_accounting.houdini2,imsar_accounting.511030
houdini2_subs_subrouting_line,contract_subs_routing_line,imsar_accounting.houdini2,imsar_accounting.511040
houdini2_other_subrouting_line,contract_other_routing_line,imsar_accounting.houdini2,imsar_accounting.511050
,,,
hawkeye2_labor_subrouting_line,contract_labor_routing_line,imsar_accounting.hawkeye2,imsar_accounting.511010
hawkeye2_materials_subrouting_line,contract_material_routing_line,imsar_accounting.hawkeye2,imsar_accounting.511020
hawkeye2_travel_subrouting_line,contract_travel_routing_line,imsar_accounting.hawkeye2,imsar_accounting.511030
hawkeye2_subs_subrouting_line,contract_subs_routing_line,imsar_accounting.hawkeye2,imsar_accounting.511040
hawkeye2_other_subrouting_line,contract_other_routing_line,imsar_accounting.hawkeye2,imsar_accounting.511050
,,,
future_dod_labor_subrouting_line,contract_labor_routing_line,imsar_accounting.future_dod,imsar_accounting.511010
future_dod_materials_subrouting_line,contract_material_routing_line,imsar_accounting.future_dod,imsar_accounting.511020
future_dod_travel_subrouting_line,contract_travel_routing_line,imsar_accounting.future_dod,imsar_accounting.511030
future_dod_subs_subrouting_line,contract_subs_routing_line,imsar_accounting.future_dod,imsar_accounting.511040
future_dod_other_subrouting_line,contract_other_routing_line,imsar_accounting.future_dod,imsar_accounting.511050
,,,
future_depl_labor_subrouting_line,contract_labor_routing_line,imsar_accounting.future_deployment,imsar_accounting.571100
future_depl_materials_subrouting_line,contract_material_routing_line,imsar_accounting.future_deployment,imsar_accounting.571200
future_depl_travel_subrouting_line,contract_travel_routing_line,imsar_accounting.future_deployment,imsar_accounting.571300
future_depl_subs_subrouting_line,contract_subs_routing_line,imsar_accounting.future_deployment,imsar_accounting.571400
future_depl_other_subrouting_line,contract_other_routing_line,imsar_accounting.future_deployment,imsar_accounting.571500
,,,
darpa_hotspot_labor_subrouting_line,contract_labor_routing_line,imsar_accounting.darpa_hotspot,imsar_accounting.512010
darpa_hotspot_materials_subrouting_line,contract_material_routing_line,imsar_accounting.darpa_hotspot,imsar_accounting.512020
darpa_hotspot_travel_subrouting_line,contract_travel_routing_line,imsar_accounting.darpa_hotspot,imsar_accounting.512030
darpa_hotspot_subs_subrouting_line,contract_subs_routing_line,imsar_accounting.darpa_hotspot,imsar_accounting.512040
darpa_hotspot_other_subrouting_line,contract_other_routing_line,imsar_accounting.darpa_hotspot,imsar_accounting.512050
,,,
fair_weather_labor_subrouting_line,contract_labor_routing_line,imsar_accounting.fair_weather,imsar_accounting.512010
fair_weather_materials_subrouting_line,contract_material_routing_line,imsar_accounting.fair_weather,imsar_accounting.512020
fair_weather_travel_subrouting_line,contract_travel_routing_line,imsar_accounting.fair_weather,imsar_accounting.512030
fair_weather_subs_subrouting_line,contract_subs_routing_line,imsar_accounting.fair_weather,imsar_accounting.512040
fair_weather_other_subrouting_line,contract_other_routing_line,imsar_accounting.fair_weather,imsar_accounting.512050
,,,
future_non_dod_labor_subrouting_line,contract_labor_routing_line,imsar_accounting.future_non_dod,imsar_accounting.512010
future_non_dod_materials_subrouting_line,contract_material_routing_line,imsar_accounting.future_non_dod,imsar_accounting.512020
future_non_dod_travel_subrouting_line,contract_travel_routing_line,imsar_accounting.future_non_dod,imsar_accounting.512030
future_non_dod_subs_subrouting_line,contract_subs_routing_line,imsar_accounting.future_non_dod,imsar_accounting.512040
future_non_dod_other_subrouting_line,contract_other_routing_line,imsar_accounting.future_non_dod,imsar_accounting.512050
,,,
japan1_labor_subrouting_line,contract_labor_routing_line,imsar_accounting.japan1,imsar_accounting.513010
japan1_materials_subrouting_line,contract_material_routing_line,imsar_accounting.japan1,imsar_accounting.513020
japan1_travel_subrouting_line,contract_travel_routing_line,imsar_accounting.japan1,imsar_accounting.513030
japan1_subs_subrouting_line,contract_subs_routing_line,imsar_accounting.japan1,imsar_accounting.513040
japan1_other_subrouting_line,contract_other_routing_line,imsar_accounting.japan1,imsar_accounting.513050
,,,
irad_labor_subrouting_line,irad_labor_routing_line,imsar_accounting.aa_irad,imsar_accounting.711100
irad_materials_subrouting_line,irad_material_routing_line,imsar_accounting.aa_irad,imsar_accounting.711200
irad_travel_subrouting_line,irad_travel_routing_line,imsar_accounting.aa_irad,imsar_accounting.711300
irad_subs_subrouting_line,irad_subs_routing_line,imsar_accounting.aa_irad,imsar_accounting.711400
irad_other_subrouting_line,irad_other_routing_line,imsar_accounting.aa_irad,imsar_accounting.711500
,,,
eng_dloh_labor_subrouting_line,eng_dloh_labor_routing_line,imsar_accounting.aa_dloh,imsar_accounting.517100
comm_dloh_labor_subrouting_line,comm_dloh_labor_routing_line,imsar_accounting.aa_dloh,imsar_accounting.557100
depl_dloh_labor_subrouting_line,depl_dloh_labor_routing_line,imsar_accounting.aa_dloh,imsar_accounting.577100
mfg_dloh_labor_subrouting_line,mfg_dloh_labor_routing_line,imsar_accounting.aa_dloh,imsar_accounting.677100
gna_dloh_labor_subrouting_line,gna_labor_routing_line,imsar_accounting.aa_dloh,imsar_accounting.8210100
,,,
eng_mat_subrouting_line,eng_dloh_material_routing_line,imsar_accounting.aa_materials_overhead,imsar_accounting.517200
comm_mat_subrouting_line,comm_dloh_material_routing_line,imsar_accounting.aa_materials_overhead,imsar_accounting.557200
depl_mat_subrouting_line,depl_dloh_material_routing_line,imsar_accounting.aa_materials_overhead,imsar_accounting.577200
mfg_mat_subrouting_line,mfg_dloh_material_routing_line,imsar_accounting.aa_materials_overhead,imsar_accounting.677200
gna_mat_subrouting_line,gna_material_routing_line,imsar_accounting.aa_materials_overhead,imsar_accounting.8212700
,,,
eng_travel_subrouting_line,eng_dloh_travel_routing_line,imsar_accounting.aa_travel_overhead,imsar_accounting.517300
comm_travel_subrouting_line,comm_dloh_travel_routing_line,imsar_accounting.aa_travel_overhead,imsar_accounting.557300
depl_travel_subrouting_line,depl_dloh_travel_routing_line,imsar_accounting.aa_travel_overhead,imsar_accounting.577300
mfg_travel_subrouting_line,mfg_dloh_travel_routing_line,imsar_accounting.aa_travel_overhead,imsar_accounting.677300
gna_travel_subrouting_line,gna_travel_routing_line,imsar_accounting.aa_travel_overhead,imsar_accounting.8213100
,,,
eng_other_subrouting_line,eng_dloh_other_routing_line,imsar_accounting.misc_overhead,imsar_accounting.517500
comm_other_subrouting_line,comm_dloh_other_routing_line,imsar_accounting.misc_overhead,imsar_accounting.557500
depl_other_subrouting_line,depl_dloh_other_routing_line,imsar_accounting.misc_overhead,imsar_accounting.577500
mfg_other_subrouting_line,mfg_dloh_other_routing_line,imsar_accounting.misc_overhead,imsar_accounting.677500
gna_other_subrouting_line,gna_other_routing_line,imsar_accounting.misc_overhead,imsar_accounting.8219100
